Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-12-09,2.569,1.1468,3.6877,0.945,2.83404,-2.201390123800862,-1.394339896036834,0.3605991771613726,-1.249812101953515,-1.270997840866631,-0.928858236471253,-1.290208407583541,-1.875256744994199,-0.1403215248112398
2019-12-24,3.437,1.264,4.164,0.864,2.98305,-0.5543766854430392,-1.039257285326582,-1.696546406874321,-0.344854642185112,-0.3602450031798421,-0.9233299254388281,-0.8996412489515703,-0.7319233460253644,-0.1403215248112398
2020-01-04,4.167,1.0647,5.1385,0.948,3.23676,-0.5923263038383807,-0.5476044397277734,-3.982263722469535,-1.485887961023533,-1.787911613607782,1.098598646605484,-0.4273274757222097,-1.046121837345044,-0.1403215248112398
2020-02-06,2.678,0.943,2.664,1.184,2.77056,-0.6606356169499958,-1.203141567192852,-0.6679736148564734,-1.171120148930176,-1.320227723984836,-0.9204633937923855,-1.617194865973098,-0.8890225916852046,-0.1403215248112398
2020-03-08,4.631,0.918,4.987,1.067,3.65864,0.1818459114265866,-0.07416095878077121,-0.09654428595766974,1.504406253863364,1.067421607248098,-0.8950741134953227,-0.6362354908044265,-0.007521268816103111,-0.1403215248112398
2020-06-10,2.843,1.246,2.468,1.248,2.52252,0.8497591951845971,0.6815276742692508,-0.3251160175171914,-0.9350442898601575,0.1320538280022063,-0.8985549019231458,0.6898762571087769,0.72560854426315,-0.1138028113494396
2020-07-11,4.648,1.133,4.068,1.145,2.730756,0.7738599583939141,1.209599249171677,0.817742640280416,1.504406253863364,0.5997377176251524,-0.9018309380905088,1.162190030338137,1.467466093212394,-0.1403215248112398
2020-08-26,7.518,0.32,4.861,0.433,4.2952,0.7738599583939141,0.7907838621800976,0.1320274456018509,-0.58093050125513,0.5997377176251524,-0.9057212310392523,1.162190030338137,0.8390691105730341,0.03785108126023028
2020-09-24,2.986,1.812,2.143,1.355,4.42213,0.2122056061428591,0.2445029226258647,0.817742640280416,0.1666430524665941,0.1320538280022063,-0.9145255782390401,0.5536318994464614,0.638331185563239,-0.1394928150155585
2020-10-18,2.348,0.828,2.1648,0.685,0.76704,-0.524016990726766,-0.183417146691618,0.817742640280416,2.133941878050079,1.067421607248098,-0.9061307355601727,-0.3092490324148699,-0.05988768403604923,-0.1403215248112398
2020-11-12,3.4586,1.434,3.553,0.864,1.5571,-1.449987679573099,-0.2198358759952328,0.817742640280416,1.110946488746667,1.067421607248098,-0.9153445872808809,-0.1457558032200903,-0.9064780634251864,-0.1403215248112398
2020-12-14,4.1568,1.368,4.315,0.974,2.93928,-1.381678366461485,-2.140923846760952,0.7034567745006547,3.038899337818483,1.559720438430147,-0.9018309380905088,-1.044968563791373,-1.831618065644243,-0.137835395424196
2021-01-26,2.46376,0.92414,2.77056,1.23136,2.6874432,-0.918693022038318,-0.7388027685717543,-0.2108301517374311,0.7568327001416397,0.5997377176251524,-0.912068551113518,-0.4545763472546725,-0.609735043845489,-0.1403215248112398
2021-02-24,4.86255,0.88128,5.23635,1.01365,3.5854672,-0.2963192803547169,-0.2653592876247522,0.1320274456018509,0.08795109944325501,1.067421607248098,1.098598646605484,0.1358158692820279,-0.5573686286255424,-0.1403215248112398
2021-03-21,3.0933,1.30192,4.24728,0.864,3.1322025,-1.199520198163845,-1.494491401621776,0.7034567745006547,3.196283243865162,1.559720438430147,-0.8942551044534819,0.1812306551694663,-0.8279284405952666,-0.1403215248112398
2021-04-28,4.167,1.128582,5.44681,0.948,2.9778192,0.1211265219940393,-0.5293950750759653,-1.353688809535039,0.6781407471183005,0.1320538280022063,-0.9175968621459429,-1.026802649436397,-0.02497674055608556,-0.098886035027177
2021-05-18,2.8259,1.055056,3.650823,0.85995,2.7490188,1.047097210840373,0.9000400500909445,0.817742640280416,0.4420648880482821,0.5997377176251524,-0.8969168838394643,0.8352035719485809,1.092173450802775,-0.1013721644142208
2021-06-26,2.44498,1.25846,2.73948,1.21056,2.2198176,1.115406523951988,0.7452604505505782,-0.09654428595766974,-0.305508665673442,0.1320538280022063,-0.9057212310392523,0.6717103427538026,1.109628922542758,-0.1154602309408021
2021-07-02,5.43816,1.25763,4.84092,0.97325,2.83998624,1.001557668765963,1.127657108238542,0.817742640280416,0.6387947706066307,0.1320538280022063,-0.8727561171051627,0.898784272190995,1.266728168202597,-0.1361779758328335
2021-08-30,6.0144,0.3424,5.05544,0.49362,5.068336,0.9028886609380755,1.118552425912638,0.817742640280416,-0.5022385482317906,0.5997377176251524,-0.9112495420716772,0.9986968011433591,0.7779749594830961,-0.1403215248112398
2021-09-10,3.362821,1.17111216,3.06669132,0.7481565,2.913959928,1.077456905556646,1.236913296149388,0.1320274456018509,-0.8956983133484878,-0.8279288928027879,-0.9208728983133058,1.243936644935527,1.170723073632696,-0.1403215248112398
